clean_document_sentences,reader_attention_of_each_word,average_reader_attention,sentence_length
cher franck tiens tout d abord féliciter surtout remercier victoire équipe demifinale top face racing,"[7.305376418758768281e-271, 8.267151862246112832e-260, 9.790247937274425759e-293, 2.9016533677319036833e-290, 3.5184677685210899894e-281, 3.7560764290207245907e-200, 2.8127750979946753364e-85, 2.7347342572379739136e-272, 1.7213639085824968044e-279, 4.0463775476476155937e-331, 1.9090815020758049303e-358, 3.910459681233288804e-292, 5.4231026271469968277e-219, 5.6485976219271831655e-196, 3.6291070582581481775e-313]",1.875183398663117e-86,15
belle bout bout malgré longue infériorité numérique équipe a démontré constante savoirfaire jeu disent long détermination,"[2.583310822239944336e-212, 4.0016314661781603247e-318, 9.8811476066127804787e-321, 1.6106815958691603283e-210, 3.3646842250490248907e-286, 8.321315388563822991e-40, 1.8252967034111867585e-329, 5.6128208096460687344e-173, 9.273111806941148527e-297, 3.7445203236598063368e-243, 8.8566038323671137843e-203, 2.1814318249890076333e-296, 3.1562261776029796393e-307, 1.0841094987825822612e-159, 4.9550197414208721934e-348, 2.2423494104495936894e-226]",5.200822117852389e-41,16
regrette juste qu elle n ait pu passer barre points qu elle permis racing deux essais tardifs donner moins d ampleur score,"[1.0252803281479513879e-272, 3.9615897710771346364e-171, 5.8679022012988550774e-353, 2.4084111224601177923e-238, 6.2786536131370362967e-213, 8.541849377950682859e-206, 2.32147687048291162e-65, 1.5693458976830656024e-142, 1.0100533701958215135e-182, 5.336369780197703773e-238, 1.902747100475096695e-172, 1.0143504817087224993e-49, 9.194036691168815132e-201, 2.6061920490186680859e-266, 5.128646835899148276e-265, 9.7885384113367570605e-185, 1.0627749392564060529e-173, 7.93003031925811093e-154, 3.8674749455929345919e-261, 1.2247624535573590004e-118, 4.1456941930256672303e-198, 5.998034733979571763e-207]",4.610684007766922e-51,22
c est preuve rien n est jamais acquis jeu groupe saura retirer précieux enseignements avant finale stade france dimanche prochain,"[3.375442879836684754e-164, 1.6965376597997598403e-253, 1.2062183831093902073e-207, 4.3827274107015311115e-244, 1.5518272093516467145e-131, 1.1642762378129834818e-151, 6.605560395826234288e-226, 1.1059103074451921752e-322, 1.4783788856083446909e-332, 5.0111641123408776e-294, 4.2216051764271675867e-210, 1.645441043444500935e-288, 4.7158504837218763244e-288, 7.3666203612723851427e-259, 3.9748315454413079442e-253, 1.6557792950245718466e-290, 4.8658294432789720203e-229, 7.444655270816555631e-231, 5.700652646867663323e-183, 1.0923753814929761212e-277]",7.759136046758234e-133,20
tous cas après déprimante partie rentre dedans veille entre toulon rochelle dois avouer succès a fait beaucoup bien,"[2.97373179908924367e-389, 1.3956174131522880924e-225, 1.6009061579538177917e-275, 2.743312205898988688e-264, 1.6005604501010488602e-264, 1.3319443536383863277e-336, 2.5756885937456277917e-245, 6.971226240251224494e-231, 2.0623670981751790028e-175, 1.1143833436074242092e-286, 1.554538084979589718e-277, 3.792635795059245238e-279, 1.8741523762993130465e-310, 1.0820430581875084152e-320, 6.3524515845023819624e-310, 7.8988362576707544834e-169, 3.1300714652768787636e-158, 2.4540164759855811595e-176]",1.7389285918643706e-159,18
a réconciliés rugby sport aimons tant déprime si souvent derniers temps depuis quelques présidents fait jouet outil j en profite préciser président monsieur eric cromières sans aucun doute celui l on connait moins n est certainement hasard,"[5.3587891592103625176e-252, 1.3072317171885573982e-299, 3.0468899337621641098e-261, 6.661919221640488371e-201, 1.2029364835562071084e-233, 1.5544870237107578708e-245, 2.6734627225435308499e-307, 1.3659296607415541605e-209, 6.385922342555065498e-241, 1.07430352721872797624e-132, 1.1071749568176916043e-256, 1.0501579631914579986e-304, 3.3559647742348499154e-312, 4.0826659168489181302e-268, 8.562492483868034398e-93, 1.293277152316657593e-171, 2.5084827164434194295e-241, 2.6858161650699523565e-317, 8.422972647983591572e-154, 7.3589755629064844356e-274, 1.5247854876747453902e-281, 3.6918127639956872835e-175, 4.7262351263136913056e-260, 3.223025782831964293e-191, 2.9345629208944173202e-223, 2.1407476632638969237e-240, 8.839751672373810904e-196, 6.646234917386699159e-233, 2.0875499911251367536e-176, 4.0276427963867825912e-221, 1.718289385863351091e-266, 1.9808067269978818737e-186, 1.8612335506985903339e-268, 1.3703221775453620848e-240, 3.1504740801842934154e-299, 1.8506234794299259811e-200, 3.1291886119011676054e-234]",2.3141871578021715e-94,37
car clermont c est l institution compte c est club c est jeu c est donc joueurs,"[1.7039034160082448377e-295, 3.5795624673869903985e-230, 2.65455584436328012e-261, 1.6102890969136239684e-302, 3.9142919279102573983e-248, 6.966116203945849419e-264, 1.5505599585203343321e-232, 1.2890224655880763601e-315, 1.4962331734777071886e-234, 3.761137400502801171e-363, 4.3621281761786104092e-207, 2.8472861181200386507e-303, 1.3914908387736279302e-239, 4.4985770876812047073e-295, 9.6027262163631445955e-157, 1.4825399069478498448e-274, 2.4951453622346373188e-379]",5.648662480213614e-158,17
c est aussi cela titre cette lettre adresse précise cher franck l entraîneur clermont,"[2.8452862945562673183e-284, 7.457548847601208856e-307, 3.504837982725372513e-172, 1.0573065467885731617e-329, 1.4584128388410725629e-262, 1.4319759346430082233e-351, 2.0616036204022904313e-257, 6.908394455855691853e-185, 1.3026655109549870193e-148, 1.413562018635351312e-281, 1.4306686144509381542e-179, 1.9215471356552038195e-283, 1.7366156822876842054e-122, 2.010371741876231271e-312]",1.2404397730626316e-123,14
hélas l outrance médiatique certains fait grand public connait mieux désormais boudjellal altrad lorenzetti celui manage d une main maître l asm,"[6.1723345569965985326e-184, 2.441269046235764307e-268, 3.9344573592871820355e-274, 3.6094879913440089573e-346, 4.971965062196099001e-339, 1.7586526828627596774e-229, 4.1082956035273538465e-327, 1.8505255701429046438e-347, 8.225981496542567297e-244, 1.0854162847540883697e-239, 2.1807348554875832846e-171, 2.0683552314994519586e-258, 2.2162016403769647542e-304, 7.9899260016195362005e-442, 1.4379697952044445305e-302, 6.0007376397596831614e-395, 4.537344039114660287e-329, 3.5492111963525874088e-262, 5.945348557636058422e-277, 7.632522689371805946e-403, 2.8247308629679469964e-241, 1.4769402469723503971e-366]",9.912431161310002e-173,22
franck samedi vélodrome équipe a tout d abord lavé l affront saison passée quand laissé filer bien malgré cette demifinale qu elle n aurait jamais dû perdre,"[5.907305085676554469e-306, 2.3278984838572025817e-280, 5.4696803240354636854e-360, 3.780995302617736114e-400, 2.0920728525470117877e-272, 2.8405194087195283016e-366, 1.447737734803552048e-231, 4.6655496861874248047e-246, 8.9804432116829795194e-393, 6.024558128620397391e-302, 8.525076164644630059e-288, 6.447210025044788153e-223, 3.4842429099597878548e-386, 6.866377686482421272e-395, 1.3370744489072476407e-316, 3.7203912821191902336e-361, 1.354796156938198418e-329, 1.2917614388249206664e-331, 2.4248842912311037007e-390, 1.9536232851999970139e-415, 4.5986004306121868524e-304, 3.9375852078478129446e-318, 1.0128020881299920513e-283, 7.8576543798565294385e-377, 4.866670458520438146e-269, 1.3330983740484909319e-287, 1.6549518033047133873e-185]",6.12945112335079e-187,27
